molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL3109555,CCOc1ccc(C2(c3ccc(OCC)cc3)NC(=N)N(C3CCCCC3)C2=O)cc1,466.0,Active
CHEMBL3109554,N=C1NC(c2ccc(OC(F)(F)F)cc2)(c2ccc(OC(F)(F)F)cc2)C(=O)N1C1CCCCC1,2200.0,Intermediate
CHEMBL3109553,COc1cccc(C2(c3ccccc3)NC(=N)N(C3CCCCC3)C2=O)c1,917.0,Active
CHEMBL3109552,COc1ccc(C2(c3ccccc3)NC(=N)N(C3CCCCC3)C2=O)cc1,533.0,Active
CHEMBL3109551,COc1cccc(C2(c3cccc(OC)c3)NC(=N)N(C3CCCCC3)C2=O)c1,768.0,Active
CHEMBL3109550,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(CC3CCOCC3)C2=O)cc1,463.0,Active
CHEMBL3109549,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(CC3CCCCC3)C2=O)cc1,383.0,Active
CHEMBL3109548,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCN(C(=O)OC(C)(C)C)CC3)C2=O)cc1,436.0,Active
CHEMBL3109547,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCN(C)CC3)C2=O)cc1,697.0,Active
CHEMBL3109546,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCNCC3)C2=O)cc1,5000.0,Intermediate
CHEMBL3109545,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCC(O)CC3)C2=O)cc1,14800.0,Inactive
CHEMBL3109544,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCOCC3)C2=O)cc1,459.0,Active
CHEMBL3109543,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCCCCC3)C2=O)cc1,427.0,Active
CHEMBL3109542,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCCCC3)C2=O)cc1,463.0,Active
CHEMBL582580,N=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1C1CCCCC1,3850.0,Intermediate
CHEMBL3109541,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCCC3)C2=O)cc1,611.0,Active
CHEMBL3109540,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCC3)C2=O)cc1,722.0,Active
CHEMBL3109539,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CC3)C2=O)cc1,4110.0,Intermediate
CHEMBL3109538,CC(C)(C)N1C(=N)NC(c2ccccc2)(c2ccccc2)C1=O,100000.0,Inactive
CHEMBL3109537,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C(C)C)C2=O)cc1,1660.0,Intermediate
CHEMBL3109536,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(CCCc3ccccc3)C2=O)cc1,512.0,Active
CHEMBL3109535,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(CCc3ccccc3)C2=O)cc1,2380.0,Intermediate
CHEMBL3109534,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(Cc3ccccc3)C2=O)cc1,855.0,Active
CHEMBL3109533,N=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1Cc1ccccc1,8290.0,Intermediate
CHEMBL3109532,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(c3ccccc3)C2=O)cc1,100000.0,Inactive
CHEMBL3109531,CCCN1C(=N)NC(c2ccc(OC)cc2)(c2ccc(OC)cc2)C1=O,1140.0,Intermediate
CHEMBL3109530,CCN1C(=N)NC(c2ccc(OC)cc2)(c2ccc(OC)cc2)C1=O,3950.0,Intermediate
CHEMBL3109529,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C)C2=O)cc1,7920.0,Intermediate
CHEMBL588662,CCC(CN1C(=N)NC(c2ccccc2)(c2ccccc2)C1=O)c1ccccc1,2760.0,Intermediate
CHEMBL3109528,CCC(CN1C(=N)NC(c2ccc(OC)cc2)(c2ccc(OC)cc2)C1=O)c1ccccc1,244.0,Active
CHEMBL3114092,Br.CN1C(=O)CN(CCCCCN2CCc3ccccc3C2)c2ccc([N+](=O)[O-])cc21,6470.0,Intermediate
CHEMBL3114091,Br.CN1C(=O)CN(CCCCCN2CCCCCC2)c2ccc([N+](=O)[O-])cc21,10000.0,Inactive
CHEMBL2046935,Br.CN1C(=O)CN(CCCCCN2CCCCC2)c2ccc([N+](=O)[O-])cc21,10000.0,Inactive
CHEMBL3114090,Br.CN1C(=O)CN(CCCCCN2CCCC2)c2ccc([N+](=O)[O-])cc21,10000.0,Inactive
CHEMBL3114089,Br.CN(C)CCCCCN1CC(=O)N(C)c2cc([N+](=O)[O-])ccc21,10000.0,Inactive
CHEMBL3114088,Br.O=C1CN(CCCCCN2CCc3ccccc3C2)c2ccc([N+](=O)[O-])cc2N1,10000.0,Inactive
CHEMBL3114087,Br.O=C1CN(CCCCCN2CCCCCC2)c2ccc([N+](=O)[O-])cc2N1,5720.0,Intermediate
CHEMBL2046934,Br.O=C1CN(CCCCCN2CCCCC2)c2ccc([N+](=O)[O-])cc2N1,10000.0,Inactive
CHEMBL3114086,Br.O=C1CN(CCCCCN2CCCC2)c2ccc([N+](=O)[O-])cc2N1,10000.0,Inactive
CHEMBL3113928,Br.CN(C)CCCCCN1CC(=O)Nc2cc([N+](=O)[O-])ccc21,10000.0,Inactive
CHEMBL3114827,Cl.Cn1cc(CCN)c2c1C(=O)C1=C(NC=CS1(=O)=O)C2=O,416.0,Active
CHEMBL3112612,CNCCc1c[nH]c2c1C(=O)C1=C(NC=CS1(=O)=O)C2=O.Cl,160.0,Active
CHEMBL3114829,CNCCc1cn(C)c2c1C(=O)C1=C(NC=CS1(=O)=O)C2=O.Cl,137.0,Active
CHEMBL3114828,Cl.Cn1cc(CCN)c2c1C(=O)C1=C(C2=O)S(=O)(=O)C=CN1,128.0,Active
CHEMBL337309,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,48170.0,Inactive
CHEMBL402471,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](COC(=O)/C=C/c3ccc(O)c(O)c3)O[C@H]3OC[C@H](c4ccc(O)c(O)c4)O[C@H]23)[C@H](O)[C@H](O)[C@H]1O,50000.0,Inactive
CHEMBL2048508,O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@@H]1O,75540.0,Inactive
CHEMBL3121247,COc1cc(O[C@@H]2O[C@H](CO[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,250000.0,Inactive
CHEMBL250450,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5540.0,Intermediate
CHEMBL3121246,CCOC(=O)c1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2,60280.0,Inactive
CHEMBL3121245,O=C1c2c(O)cc(O)cc2O[C@@]2(c3ccc(O)cc3)Oc3cc(O)c4c(c3[C@]12O)O[C@H](c1ccc(O)cc1)CC4,60580.0,Inactive
CHEMBL2088548,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)NCCCCCCCCNC(=O)CCC(=O)O[C@@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@]64OO5)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.3,Active
CHEMBL2088546,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)NCC(O)CNC(=O)CCC(=O)O[C@@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@]64OO5)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.32,Active
CHEMBL3125599,COc1cc(CCCOC(=O)CCC(=O)O[C@@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@]53OO4)cc2cc(-c3ccc4c(c3)OCO4)oc12,2.3,Active
CHEMBL470981,COc1cc(CCCO)cc2cc(-c3ccc4c(c3)OCO4)oc12,25436.0,Inactive
CHEMBL3125844,COC(=O)[C@H]1Cc2c([nH]c3ccccc23)[C@H](c2c(CO)cnc(C)c2O)N1,8000.0,Intermediate
CHEMBL3125843,COC(=O)[C@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(CO)cnc(C)c2O)N1,108000.0,Inactive
CHEMBL3125842,COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(CO)cnc(C)c2O)N1,22000.0,Inactive
CHEMBL3125841,COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@H](c2c(CO)cnc(C)c2O)N1,91000.0,Inactive
CHEMBL3125840,COC(=O)C1Cc2c([nH]c3ccccc23)C(c2c(CO)cnc(C)c2O)N1,14000.0,Inactive
CHEMBL3218232,C1CN(C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CCO1,0.4,Active
CHEMBL3218233,C1CCN(C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)C1,0.7,Active
CHEMBL3218234,FC1(F)CCC(NC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,0.4,Active
CHEMBL3218235,C1CC(NC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CCO1,0.7,Active
CHEMBL3218236,CN1CCC(NC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,0.4,Active
CHEMBL3218237,O=S1(=O)CC[N+]([O-])(C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,3.7,Active
CHEMBL3218238,C1CCN(C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,0.6,Active
CHEMBL3218239,FC1(F)CCN(C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,0.6,Active
CHEMBL3218240,C1CCN(C2CCN(C3CCC4(CC3)OOC3(OO4)C4CC5CC(C4)CC3C5)CC2)CC1,2.4,Active
CHEMBL3218241,C1CCC(NC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,0.4,Active
CHEMBL3218242,NC1CCN(C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,1.2,Active
CHEMBL3218243,C1C2CC3CC1CC(C2)C31OOC2(CCC(NC3CC3)CC2)OO1,1.5,Active
CHEMBL3218244,CC(C)(C)NC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3,1.3,Active
CHEMBL3218245,O=C1CN(C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CCN1,3.5,Active
CHEMBL3218246,CC(C)(C)OC(=O)NC1CCN(C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,1.0,Active
CHEMBL3218247,C1CC(NC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CCO1.Cl,1.0,Active
CHEMBL3218248,Cc1ccc(S(=O)(=O)O)cc1.NC1CCN(C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,2.5,Active
CHEMBL3219628,CCOC(=O)c1c[nH]c2ccc(Oc3ccccc3)cc2c1=O,164.0,Active
CHEMBL3219629,CCOC(=O)c1c[nH]c2cc(Oc3ccccc3)ccc2c1=O,19.3,Active
CHEMBL381059,CCOC(=O)c1c[nH]c2ccc(Cc3ccccc3)cc2c1=O,40.4,Active
CHEMBL3219630,CCOC(=O)c1c[nH]c2cc(Cc3ccccc3)ccc2c1=O,4.57,Active
CHEMBL3219633,CCOC(=O)c1c[nH]c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2c1=O,229.8,Active
CHEMBL3219634,CCOC(=O)c1c[nH]c2cc(Oc3ccc(OC(F)(F)F)cc3)ccc2c1=O,5.3,Active
CHEMBL3219635,CCOC(=O)c1c[nH]c2ccc(Cc3ccc(OC(F)(F)F)cc3)cc2c1=O,141.5,Active
CHEMBL3219636,CCOC(=O)c1c[nH]c2cc(Cc3ccc(OC(F)(F)F)cc3)ccc2c1=O,0.46,Active
CHEMBL3219637,CCOC(=O)c1c[nH]c2ccc(OCc3ccc(OC(F)(F)F)cc3)cc2c1=O,674.8,Active
CHEMBL3219638,CCOC(=O)c1c[nH]c2cc(OCc3ccc(OC(F)(F)F)cc3)ccc2c1=O,5.0,Active
CHEMBL3219639,N#Cc1c[nH]c2ccc(Oc3ccccc3)cc2c1=O,10000.0,Inactive
CHEMBL3219640,N#Cc1c[nH]c2cc(Oc3ccccc3)ccc2c1=O,8102.5,Intermediate
CHEMBL3219641,O=c1cc[nH]c2ccc(Oc3ccccc3)cc12,4698.0,Intermediate
CHEMBL3219642,O=c1cc[nH]c2cc(Oc3ccccc3)ccc12,6725.0,Intermediate
CHEMBL3219643,CC(C)OC(=O)c1c[nH]c2ccc(Oc3ccccc3)cc2c1=O,183.9,Active
CHEMBL3219644,CC(C)OC(=O)c1c[nH]c2cc(Oc3ccccc3)ccc2c1=O,8.45,Active
CHEMBL3219645,O=C(OC1CCCCC1)c1c[nH]c2ccc(Oc3ccccc3)cc2c1=O,1820.4,Intermediate
CHEMBL3219646,O=C(OC1CCCCC1)c1c[nH]c2cc(Oc3ccccc3)ccc2c1=O,29.6,Active
